"YEAR","NEWCOURSECODE","NEWCOURSETITLE","STUDYLEVEL","COMMUTELENGTH","ACCOMMODATIONTYPE","CAMPUSPOSTCODE","AVERAGEMODULEMARK","PERCENTAGEATTENDANCE","DEGREETYPE","DEGREECLASS"
"2017/18","BAJMC06F","BA Television Production FT","Level 4",0.59,"UoW Halls","HA1 3TP",64,51.19,"BA","2:i"
"2016/17","BAFAS02F","BA Fashion Design FT","Level 4",12.95,"Commuter","HA1 3TP",60,0,"BA","2:i"
"2017/18","BAFAS02F","BA Fashion Design FT","Level 5",12.95,"Commuter","HA1 3TP",64,2.72,"BA","2:i"
"2016/17","BAARC01F","BA Architecture FT","Level 6",0.58,"Other inc. Private Halls","NW1 5LS",13,15.66,"BA","3rd"
"2017/18","BABSM06F","BA Business Management FT","Level 4",6.07,"UoW Halls","NW1 5LS",65,81.71,"BA","2:i"
"2016/17","BACRI02F","BA Sociology and Criminology FT","Level 6",3.92,"Commuter","W1B 2HW",62,38.57,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 6",0.81,"Other inc. Private Halls","NW1 5LS",64,53.33,"BA","2:i"
"2016/17","BLLAW02F","LLB Law FT","Level 6",8.23,"Commuter","W1B 2HW",43,26.92,"LLB","3rd"
"2016/17","BMMUS01F","BMus Commercial Music Performance FT","Level 4",16.34,"Unknown","HA1 3TP",29,33.33,"BMus","3rd"
"2017/18","BLLAW03F","LLB Law with French Law FT","Level 4",4.06,"Other inc. Private Halls","W1B 2HW",63,81.08,"LLB","2:i"
"2016/17","BAARC02F","BA Interior Architecture FT","Level 5",6.84,"Commuter","NW1 5LS",62,19.44,"BA","2:i"
"2017/18","BAARC02F","BA Interior Architecture FT","Level 6",6.84,"Commuter","NW1 5LS",65,5.63,"BA","2:i"
"2016/17","BAADS04F","BA Fine Art Mixed Media FT","Level 5",0.59,"UoW Halls","HA1 3TP",67,29.76,"BA","2:i"
"2017/18","BAADS04F","BA Fine Art Mixed Media FT","Level 6",0.59,"UoW Halls","HA1 3TP",69,21.05,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 5",6.07,"UoW Halls","NW1 5LS",57,63.95,"BA","2:ii"
"2017/18","BABSM06F","BA Business Management FT","Level 6",6.07,"UoW Halls","NW1 5LS",57,60,"BA","2:ii"
"2016/17","BMMUS01F","BMus Commercial Music Performance FT","Level 6",0.25,"Other inc. Private Halls","HA1 3TP",67,21.15,"BMus","2:i"
"2016/17","BAARC01F","BA Architecture FT","Level 6",1.32,"Other inc. Private Halls","NW1 5LS",50,3.61,"BA","2:ii"
"2016/17","BAMRK03F","BA Marketing Management FT","Level 4",9.07,"Commuter","NW1 5LS",56,41.86,"BA","2:ii"
"2017/18","BAMRK03F","BA Marketing Management FT","Level 5",9.07,"Commuter","NW1 5LS",66,41.27,"BA","2:i"
"2016/17","BACRI01F","BA Criminology FT","Level 6",3.39,"Commuter","W1B 2HW",62,54.84,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 5",12.47,"Unknown","NW1 5LS",59,37.08,"BA","2:ii"
"2017/18","BABSM06F","BA Business Management FT","Level 6",12.47,"Unknown","NW1 5LS",62,32.81,"BA","2:i"
"2016/17","BAFAS01F","BA Fashion Buying Management FT","Level 5",4.33,"Other inc. Private Halls","HA1 3TP",65,23.61,"BA","2:i"
"2016/17","BSFIN01F","BSc Finance FT","Level 6",9.59,"Other inc. Private Halls","NW1 5LS",79,88.46,"BSc","1st"
"2017/18","BAHRM01F","BA Human Resource Management FT","Level 4",6.57,"Commuter","NW1 5LS",61,80.82,"BA","2:i"
"2017/18","BECSS01F","BEng Software Engineering FT","Level 5",5.05,"Commuter","W1W 6XH",0,46.67,"BEng","3rd"
"2016/17","BASOC01F","BA Sociology FT","Level 6",16.04,"Other inc. Private Halls","W1B 2HW",62,60,"BA","2:i"
"2016/17","BACRI01F","BA Criminology FT","Level 5",30.59,"Unknown","W1B 2HW",17,5.56,"BA","3rd"
"2016/17","BLLAW02F","LLB Law FT","Level 6",19.3,"Unknown","W1B 2HW",52,41.38,"LLB","2:ii"
"2016/17","BABSM06F","BA Business Management FT","Level 6",11.69,"Commuter","NW1 5LS",49,69.74,"BA","3rd"
"2017/18","BACRI01F","BA Criminology FT","Level 4",3.84,"Other inc. Private Halls","W1B 2HW",49,51.43,"BA","3rd"
"2017/18","BAMUS01F","BA Commercial Music FT","Level 4",0.59,"UoW Halls","HA1 3TP",64,52.73,"BA","2:i"
"2016/17","BSBMS03F","BSc Pharmacology and Physiology FT","Level 4",1.28,"Other inc. Private Halls","W1W 6XH",77,63.44,"BSc","1st"
"2016/17","BABSM06F","BA Business Management FT","Level 5",15.42,"Other inc. Private Halls","NW1 5LS",66,45.21,"BA","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 6",15.42,"Other inc. Private Halls","NW1 5LS",66,32.39,"BA","2:i"
"2016/17","BAHIS01F","BA History and Politics FT","Level 5",6.59,"UoW Halls","W1B 2HW",66,73.61,"BA","2:i"
"2017/18","BAHIS01F","BA History and Politics FT","Level 6",6.59,"UoW Halls","W1B 2HW",59,71.19,"BA","2:ii"
"2016/17","BLLAW02F","LLB Law FT","Level 5",11,"Commuter","W1B 2HW",65,91.49,"LLB","2:i"
"2016/17","BLLAW02F","LLB Law FT","Level 5",2.55,"Other inc. Private Halls","W1B 2HW",56,22.68,"LLB","2:ii"
"2017/18","BLLAW02F","LLB Law FT","Level 6",1.17,"Other inc. Private Halls","W1B 2HW",52,28.57,"LLB","2:ii"
"2016/17","BATFM01F","BA Film FT","Level 5",3.96,"Unknown","HA1 3TP",55,9.47,"BA","2:ii"
"2017/18","BATFM01F","BA Film FT","Level 6",3.96,"Unknown","HA1 3TP",62,2.63,"BA","2:i"
"2017/18","BABSM06F","BA Business Management FT","Level 4",6.63,"Commuter","NW1 5LS",62,89.04,"BA","2:i"
"2016/17","BSBIO02F","BSc Biological Sciences FT","Level 6",8.03,"Commuter","W1W 6XH",60,29.33,"BSc","2:i"
"2016/17","BABSM07F","BA International Business FT","Level 5",6,"UoW Halls","NW1 5LS",63,52.17,"BA","2:i"
"2016/17","BSCPM01F","BSc Chinese Medicine Acupuncture FT","Level 4",6.64,"UoW Halls","W1W 6XH",61,38.89,"BSc","2:i"
"2016/17","BSACC01F","BSc Accounting FT","Level 6",6.15,"Other inc. Private Halls","NW1 5LS",62,47.52,"BSc","2:i"
"2016/17","BACRI01F","BA Criminology FT","Level 5",9.54,"Other inc. Private Halls","W1B 2HW",59,55.41,"BA","2:ii"
"2017/18","BACRI01F","BA Criminology FT","Level 6",9.54,"Other inc. Private Halls","W1B 2HW",58,44.07,"BA","2:ii"
"2016/17","BATFM01F","BA Film FT","Level 5",0.43,"Other inc. Private Halls","HA1 3TP",62,12.24,"BA","2:i"
"2016/17","BABSM06F","BA Business Management FT","Level 5",3.56,"Other inc. Private Halls","NW1 5LS",50,68.6,"BA","2:ii"
"2017/18","BABSM06F","BA Business Management FT","Level 6",3.3,"Other inc. Private Halls","NW1 5LS",62,78.08,"BA","2:i"
"2016/17","BAMRK02F","BA Marketing Communications FT","Level 4",0.49,"Other inc. Private Halls","NW1 5LS",0,27.03,"BA","3rd"
"2016/17","BABSM07F","BA International Business FT","Level 5",10.31,"Unknown","NW1 5LS",49,57.89,"BA","3rd"
"2017/18","BABSM06F","BA Business Management FT","Level 4",6.07,"UoW Halls","NW1 5LS",58,66.67,"BA","2:ii"
